Cliente,Auto,Ubicación,Fecha,Pago,Seguro Empresa
1372,58,161,09/08/2016,Credito,SI
2346,157,507,15/06/2017,Efectivo,NO
2395,3,107,06/01/2016,Credito,SI
1547,26,505,01/07/2019,Efectivo,SI
897,113,193,07/02/2016,Efectivo,SI
1289,92,466,27/02/2017,Efectivo,SI
699,6,220,22/11/2018,Credito,SI
427,107,71,02/01/2015,Credito,SI
2,89,534,30/11/2018,Credito,NO
3658,155,182,11/03/2016,Credito,SI
2193,56,565,03/03/2015,Credito,NO
859,40,460,02/11/2016,Efectivo,NO
2841,103,288,12/06/2015,Credito,NO
1820,101,529,04/09/2016,Efectivo,SI
3401,65,348,20/01/2019,Efectivo,SI
3941,64,497,25/10/2015,Credito,SI
2156,98,320,12/05/2017,Credito,NO
1131,133,276,28/03/2018,Efectivo,SI
2576,21,445,31/12/2018,Credito,NO
2229,42,291,26/05/2015,Credito,SI
1692,36,81,02/10/2018,Credito,SI
2954,13,16,16/04/2019,Credito,NO
3661,37,532,01/12/2019,Credito,NO
3419,46,511,22/02/2015,Efectivo,SI
1996,130,105,02/01/2018,Efectivo,NO
851,135,191,10/01/2019,Credito,SI
347,73,282,03/05/2017,Efectivo,SI
917,106,588,18/08/2015,Efectivo,SI
694,6,157,29/04/2018,Credito,SI
654,59,426,04/11/2016,Credito,NO
2700,26,537,16/07/2018,Credito,NO
3143,47,462,07/10/2017,Efectivo,SI
788,15,23,05/03/2019,Credito,NO
218,112,372,05/08/2015,Credito,SI
2615,98,6,04/09/2018,Credito,NO
2438,41,264,18/10/2019,Credito,NO
118,43,384,31/05/2019,Credito,SI
2205,64,390,07/06/2015,Efectivo,SI
585,148,279,16/03/2016,Efectivo,NO
1773,150,56,18/10/2019,Credito,SI
3097,60,368,07/06/2015,Credito,NO
5,1,10,07/08/2018,Credito,NO
2043,24,38,10/06/2016,Efectivo,NO
3285,89,431,26/11/2018,Efectivo,SI
850,154,296,21/01/2017,Efectivo,SI
2007,60,519,17/07/2015,Efectivo,SI
191,17,504,20/04/2019,Credito,SI
2859,76,50,19/07/2019,Credito,NO
3762,154,181,19/01/2017,Credito,SI
2871,56,254,01/07/2015,Efectivo,NO
3923,120,350,20/03/2018,Efectivo,NO
1613,13,330,27/11/2016,Efectivo,SI
1967,105,294,26/09/2018,Credito,SI
3334,95,86,25/07/2017,Efectivo,NO
3281,104,342,23/12/2017,Efectivo,NO
767,110,527,16/06/2017,Credito,SI
3052,4,81,20/04/2016,Efectivo,NO
847,22,179,17/11/2019,Credito,SI
1278,8,308,07/09/2019,Credito,SI
1539,82,574,30/10/2016,Efectivo,NO
790,141,57,02/06/2018,Credito,NO
2767,17,323,20/03/2019,Efectivo,NO
3186,17,176,09/03/2017,Efectivo,SI
3805,121,536,03/12/2017,Credito,NO
326,81,346,06/02/2019,Credito,NO
3775,89,231,30/01/2017,Credito,NO
2616,88,153,24/07/2016,Credito,SI
3240,23,485,17/02/2015,Credito,SI
899,121,494,20/02/2019,Efectivo,NO
3708,82,151,11/08/2017,Efectivo,SI
1048,121,385,16/08/2015,Efectivo,NO
2857,139,450,19/11/2015,Credito,SI
2115,88,603,22/06/2019,Credito,SI
3732,5,441,11/04/2019,Credito,SI
3177,49,482,16/11/2018,Efectivo,SI
592,94,318,19/04/2016,Efectivo,SI
3319,153,413,10/01/2017,Credito,SI
1606,24,341,08/08/2016,Credito,SI
822,26,189,10/10/2018,Credito,NO
425,78,456,30/12/2016,Credito,NO
832,21,122,16/07/2018,Credito,SI
1365,139,139,06/01/2015,Efectivo,NO
805,96,411,09/03/2018,Credito,SI
1553,51,280,05/11/2018,Efectivo,NO
216,64,445,09/04/2015,Credito,SI
1467,20,19,29/08/2015,Credito,NO
2883,40,55,21/12/2018,Credito,SI
2086,111,441,18/01/2015,Efectivo,NO
867,62,233,05/08/2015,Credito,SI
2287,132,183,16/02/2017,Efectivo,NO
2698,69,3,10/07/2015,Efectivo,SI
3103,80,33,07/09/2018,Credito,NO
2166,38,506,05/11/2016,Credito,SI
1851,63,318,17/02/2017,Efectivo,SI
1356,146,512,09/07/2019,Credito,NO
3741,51,88,06/02/2015,Credito,SI
2738,125,175,30/03/2016,Efectivo,NO
3386,122,209,19/05/2019,Efectivo,SI
1271,62,146,30/09/2016,Credito,NO
1415,137,223,08/10/2019,Credito,SI
1879,114,50,10/09/2018,Credito,SI
830,107,208,23/10/2017,Credito,SI
3915,93,549,07/07/2019,Efectivo,SI
2726,113,230,16/10/2015,Efectivo,NO
364,130,421,12/01/2019,Efectivo,NO
807,74,224,02/01/2015,Credito,NO
503,115,504,09/09/2016,Credito,SI
3568,3,243,07/08/2016,Credito,SI
1522,143,189,19/11/2018,Efectivo,NO
1859,85,109,18/04/2018,Credito,SI
259,135,16,02/11/2017,Credito,SI
781,92,205,28/09/2019,Credito,NO
2197,62,89,07/06/2018,Credito,SI
1768,154,116,12/03/2016,Credito,NO
232,15,4,04/04/2015,Efectivo,NO
938,7,486,13/02/2015,Efectivo,SI
3102,1,485,08/02/2015,Credito,NO
2496,10,528,28/12/2015,Efectivo,SI
3013,16,205,01/07/2016,Efectivo,SI
1336,41,305,26/05/2015,Efectivo,SI
1073,5,525,07/11/2017,Credito,NO
773,4,465,05/02/2017,Credito,SI
121,83,3,26/10/2019,Credito,SI
1115,92,228,09/06/2018,Credito,SI
3990,80,452,28/10/2019,Credito,NO
1184,90,230,12/02/2018,Efectivo,SI
1938,127,87,30/09/2016,Credito,NO
1165,143,52,13/04/2017,Credito,NO
3424,150,519,05/03/2015,Efectivo,SI
1754,17,175,10/02/2015,Credito,SI
1456,134,438,22/09/2016,Efectivo,SI
2859,120,143,09/08/2015,Credito,SI
2772,70,402,18/07/2015,Credito,SI
1294,52,517,08/04/2016,Efectivo,SI
1125,104,446,06/04/2015,Credito,NO
2174,136,221,14/10/2017,Efectivo,NO
1049,72,300,30/12/2015,Efectivo,NO
2238,143,270,05/01/2015,Credito,NO
1856,11,160,30/09/2017,Credito,NO
755,9,353,14/08/2015,Credito,NO
3900,143,444,01/12/2016,Efectivo,NO
1295,105,121,31/08/2016,Efectivo,NO
3933,96,347,20/08/2019,Efectivo,NO
1465,149,142,23/09/2015,Credito,SI
1854,36,570,20/12/2019,Credito,SI
2498,20,536,11/12/2015,Efectivo,NO
439,58,48,07/06/2018,Efectivo,SI
2703,58,333,17/07/2017,Efectivo,SI
3891,28,71,04/01/2015,Credito,NO
2976,79,89,03/09/2019,Efectivo,NO
1260,42,333,28/11/2019,Credito,SI
2480,64,61,04/12/2018,Efectivo,SI
942,151,135,28/01/2017,Efectivo,NO
3003,77,129,22/12/2015,Efectivo,SI
1529,40,560,23/01/2018,Credito,SI
2598,105,591,06/06/2016,Credito,SI
3642,80,474,18/09/2018,Credito,SI
501,111,577,26/08/2017,Credito,SI
1723,69,512,16/10/2017,Efectivo,SI
3830,108,80,30/05/2016,Efectivo,NO
3157,127,480,18/10/2016,Efectivo,NO
2562,24,468,02/03/2019,Efectivo,SI
3688,111,320,13/07/2019,Credito,SI
970,61,425,07/01/2019,Efectivo,NO
3011,155,37,25/03/2016,Credito,NO
1057,157,485,05/03/2016,Credito,NO
281,24,163,22/10/2018,Efectivo,SI
2527,9,414,06/10/2018,Efectivo,SI
2799,27,187,30/04/2015,Credito,NO
114,75,110,05/11/2017,Credito,NO
2981,46,79,30/03/2015,Credito,SI
3736,154,439,28/02/2017,Credito,SI
1182,79,387,05/04/2018,Efectivo,NO
3122,104,200,21/01/2017,Efectivo,NO
3676,116,225,15/03/2018,Credito,NO
766,99,186,14/09/2015,Efectivo,NO
578,129,372,29/01/2016,Credito,NO
2490,157,412,06/10/2018,Efectivo,SI
1821,69,494,30/01/2018,Efectivo,SI
2213,2,12,26/11/2018,Efectivo,NO
1666,129,371,17/11/2017,Credito,NO
2288,73,187,05/04/2015,Credito,SI
3426,123,250,09/08/2017,Credito,SI
1043,115,37,29/01/2017,Credito,SI
3495,126,65,28/04/2015,Efectivo,NO
3528,98,113,28/02/2015,Credito,NO
3652,82,131,21/07/2018,Efectivo,NO
488,103,460,15/12/2016,Credito,NO
3586,114,153,29/12/2016,Efectivo,SI
832,55,373,29/10/2016,Efectivo,NO
2187,81,361,23/04/2018,Efectivo,NO
2160,3,552,22/07/2019,Credito,SI
2247,125,74,29/05/2017,Credito,SI
695,112,308,17/01/2016,Efectivo,SI
583,26,556,19/01/2018,Credito,SI
3343,110,196,07/11/2018,Efectivo,SI
1662,82,567,04/02/2018,Credito,SI
1493,115,291,27/10/2018,Efectivo,SI
257,28,99,18/10/2019,Efectivo,NO
1960,57,322,27/11/2016,Credito,NO
3593,114,514,06/01/2019,Credito,NO
319,42,184,17/10/2015,Efectivo,SI
85,82,84,15/06/2015,Credito,NO
1429,109,45,21/06/2018,Efectivo,SI
2804,103,534,01/12/2017,Credito,SI
1577,49,506,01/02/2019,Credito,NO
596,33,462,15/07/2019,Efectivo,SI
2506,24,240,21/02/2019,Credito,SI
1133,15,120,02/07/2017,Credito,NO
3746,19,420,01/03/2017,Efectivo,NO
802,116,508,30/10/2017,Credito,SI
1733,53,106,12/01/2017,Efectivo,SI
4000,145,91,04/04/2017,Credito,NO
1397,20,337,09/01/2019,Efectivo,NO
2680,133,2,25/11/2018,Credito,SI
3121,50,67,23/09/2015,Credito,NO
3821,88,253,01/08/2018,Efectivo,NO
2366,121,579,01/04/2018,Credito,NO
2821,60,271,31/08/2016,Credito,SI
1531,24,10,13/11/2017,Credito,SI
3842,152,177,23/07/2018,Credito,NO
2670,142,546,05/02/2015,Efectivo,NO
3657,145,323,21/01/2017,Efectivo,SI
1804,157,200,23/05/2016,Efectivo,NO
3083,56,263,13/12/2015,Credito,SI
2117,20,76,18/05/2015,Credito,SI
3813,99,309,15/05/2018,Credito,NO
870,154,32,06/10/2017,Efectivo,NO
575,46,459,01/12/2016,Efectivo,NO
2113,30,107,07/10/2018,Credito,NO
547,3,546,02/06/2016,Credito,NO
1341,128,40,07/10/2018,Credito,NO
3509,130,418,29/12/2019,Credito,NO
1945,109,376,22/04/2019,Credito,SI
1511,80,248,27/09/2018,Efectivo,NO
2949,12,377,13/01/2016,Efectivo,SI
99,20,392,03/11/2016,Efectivo,NO
1044,68,93,08/01/2018,Efectivo,SI
3741,102,473,23/05/2018,Efectivo,SI
2860,4,313,15/06/2015,Credito,NO
3068,24,535,09/01/2015,Credito,NO
1214,109,526,23/08/2016,Efectivo,NO
3289,54,387,03/12/2016,Efectivo,SI
1646,72,269,07/05/2015,Efectivo,NO
3241,116,232,21/12/2016,Credito,SI
2728,41,432,26/10/2018,Credito,NO
1182,129,507,29/01/2015,Credito,SI
3752,47,273,07/08/2016,Efectivo,NO
3956,148,66,31/01/2019,Efectivo,NO
1610,50,301,23/12/2015,Credito,NO
2269,4,130,27/11/2019,Efectivo,NO
2569,22,83,31/10/2018,Credito,NO
2189,30,455,16/04/2017,Credito,SI
1749,118,229,21/06/2015,Credito,NO
3316,112,478,08/06/2015,Efectivo,SI
3228,13,231,25/06/2017,Efectivo,SI
2103,85,339,18/06/2015,Efectivo,NO
1772,119,368,28/02/2019,Credito,NO
1526,71,533,31/05/2016,Efectivo,SI
2660,157,471,25/11/2017,Credito,SI
3459,122,577,08/11/2018,Efectivo,NO
1698,152,293,04/04/2018,Credito,SI
2466,47,370,09/02/2016,Efectivo,SI
1260,49,181,29/09/2015,Efectivo,NO
2149,142,539,06/11/2018,Credito,SI
336,89,183,03/07/2017,Credito,NO
2668,5,245,20/03/2016,Efectivo,SI
1882,121,318,16/08/2017,Efectivo,SI
1633,44,110,28/06/2015,Credito,NO
1830,91,534,14/02/2017,Efectivo,NO
2107,13,171,05/10/2018,Efectivo,NO
2864,154,153,25/06/2015,Credito,NO
2689,139,493,12/10/2017,Credito,SI
690,78,415,23/04/2018,Credito,NO
1487,96,512,22/06/2017,Efectivo,NO
3781,9,604,23/11/2019,Credito,NO
1243,54,293,23/07/2018,Credito,NO
3871,100,375,01/11/2017,Credito,SI
1711,123,387,10/01/2016,Efectivo,NO
2521,1,601,05/04/2016,Credito,NO
2017,61,50,11/08/2019,Credito,NO
406,20,537,21/12/2016,Efectivo,NO
1034,15,573,08/03/2018,Efectivo,NO
105,93,399,08/02/2018,Efectivo,SI
1861,116,460,31/03/2019,Efectivo,NO
845,51,95,21/04/2018,Credito,NO
3518,27,151,21/11/2015,Credito,SI
1403,147,35,20/05/2019,Efectivo,SI
3000,55,590,05/07/2019,Efectivo,NO
3977,132,79,13/09/2019,Credito,SI
2156,135,265,23/10/2019,Credito,SI
307,31,179,05/05/2018,Efectivo,SI
1066,109,564,01/02/2017,Efectivo,SI
250,114,369,12/04/2015,Credito,SI
1717,145,125,20/12/2016,Efectivo,NO
3699,28,603,31/08/2016,Efectivo,SI
283,113,438,14/02/2018,Efectivo,SI
3342,33,465,24/06/2017,Efectivo,NO
3659,114,383,24/07/2016,Efectivo,NO
1767,113,263,06/02/2016,Efectivo,NO
924,34,242,04/02/2018,Efectivo,SI
551,148,459,22/10/2015,Credito,SI
1761,130,120,02/04/2018,Credito,NO
1164,28,21,18/02/2016,Credito,SI
1089,152,53,13/09/2017,Efectivo,SI
1356,15,411,08/08/2017,Credito,SI
2721,117,499,01/07/2018,Efectivo,NO
840,98,413,09/10/2019,Credito,NO
876,42,73,29/11/2018,Efectivo,SI
511,44,180,22/07/2015,Credito,NO
1834,97,267,20/09/2019,Credito,NO
2832,115,471,10/02/2016,Efectivo,SI
987,69,260,17/10/2015,Credito,SI
2392,114,516,22/05/2017,Efectivo,NO
80,96,514,01/08/2015,Credito,SI
1163,131,241,07/09/2016,Credito,SI
2135,80,440,30/03/2018,Efectivo,NO
2391,82,122,30/11/2016,Credito,NO
2384,61,484,12/04/2019,Efectivo,NO
1175,129,204,22/09/2018,Efectivo,NO
3130,65,402,12/05/2019,Efectivo,NO
1581,145,32,04/08/2018,Credito,NO
717,62,429,04/06/2016,Credito,SI
2173,139,423,07/04/2016,Credito,SI
553,112,506,15/11/2015,Credito,NO
300,113,219,26/11/2019,Efectivo,NO
1134,27,343,14/01/2015,Efectivo,SI
2841,92,422,18/09/2017,Efectivo,NO
3426,108,575,15/10/2017,Efectivo,SI
1112,130,426,02/03/2018,Credito,SI
2997,150,509,26/01/2019,Credito,SI
1886,45,331,04/07/2017,Efectivo,NO
298,24,426,15/06/2019,Credito,NO
3623,77,342,12/09/2018,Credito,SI
1835,115,47,08/04/2019,Credito,NO
164,44,93,06/10/2016,Efectivo,SI
1475,46,73,07/03/2019,Efectivo,NO
2986,33,72,25/12/2018,Credito,NO
910,33,552,17/12/2016,Credito,NO
3540,157,242,25/07/2016,Efectivo,SI
1234,102,348,27/02/2016,Credito,NO
1095,18,217,02/04/2019,Efectivo,NO
1363,24,592,25/02/2015,Efectivo,NO
359,24,597,18/03/2016,Credito,NO
1011,48,147,05/09/2016,Efectivo,NO
2308,47,93,30/07/2015,Credito,NO
2582,118,206,08/06/2019,Credito,NO
2875,50,179,06/08/2015,Credito,SI
2421,105,265,06/11/2015,Credito,NO
3611,39,94,12/05/2016,Efectivo,NO
3816,93,326,18/06/2015,Credito,SI
863,35,282,05/01/2018,Credito,NO
3565,34,320,08/06/2019,Efectivo,NO
2327,2,233,10/10/2016,Credito,NO
3220,119,305,22/12/2018,Credito,SI
1325,6,365,20/07/2016,Credito,SI
2611,54,575,04/07/2016,Efectivo,SI
3802,133,110,26/11/2016,Efectivo,NO
1195,56,84,22/06/2018,Efectivo,NO
1666,145,303,29/07/2016,Credito,NO
1411,81,355,04/03/2017,Efectivo,SI
3857,123,507,12/12/2018,Credito,SI
3130,17,99,20/07/2016,Credito,SI
1742,121,89,29/05/2015,Efectivo,SI
39,116,198,22/09/2019,Efectivo,NO
2365,7,482,26/11/2016,Credito,NO
3958,88,354,27/09/2019,Efectivo,NO
2230,63,105,23/09/2017,Efectivo,NO
3171,11,57,31/01/2016,Efectivo,SI
355,132,318,11/09/2018,Credito,NO
2580,133,76,31/12/2015,Credito,SI
1230,33,580,23/05/2017,Credito,NO
3795,139,287,19/06/2018,Credito,NO
435,53,485,13/02/2019,Credito,NO
167,16,269,31/01/2019,Credito,NO
2179,146,568,13/06/2016,Efectivo,NO
2211,8,597,31/03/2019,Efectivo,NO
2413,47,530,20/05/2016,Credito,NO
959,11,424,15/10/2019,Credito,NO
3896,111,158,02/12/2016,Credito,SI
1542,17,392,06/10/2018,Credito,SI
1320,141,94,23/07/2019,Credito,SI
2735,86,277,21/09/2018,Efectivo,SI
3964,94,532,26/02/2019,Efectivo,NO
2309,137,320,13/07/2017,Credito,SI
2207,110,355,11/06/2018,Credito,SI
3696,2,222,01/10/2015,Efectivo,NO
3130,100,132,23/03/2019,Efectivo,NO
1506,100,44,15/03/2015,Efectivo,SI
3989,10,108,01/09/2015,Credito,NO
2302,67,313,07/03/2016,Credito,NO
913,29,579,06/02/2016,Efectivo,SI
2061,25,456,01/02/2016,Efectivo,SI
1558,82,171,16/02/2015,Credito,NO
250,74,298,01/02/2017,Efectivo,NO
2768,151,276,08/07/2019,Efectivo,SI
2739,53,358,18/02/2015,Credito,NO
1060,154,513,11/01/2016,Credito,SI
333,116,98,14/05/2018,Efectivo,SI
2513,131,424,13/06/2016,Credito,NO
3687,51,116,15/11/2019,Efectivo,SI
2892,109,536,04/01/2015,Efectivo,NO
1480,58,40,10/01/2019,Credito,NO
920,152,529,20/08/2016,Efectivo,NO
1710,134,490,12/08/2017,Credito,SI
2223,140,327,03/11/2015,Credito,SI
3048,151,402,01/05/2015,Credito,NO
1017,97,59,12/02/2019,Efectivo,SI
2834,3,425,14/02/2015,Efectivo,NO
184,157,183,27/07/2016,Efectivo,SI
3376,132,392,31/01/2017,Credito,NO
1177,86,149,15/05/2016,Credito,NO
1895,150,584,03/01/2016,Credito,NO
3215,98,237,03/05/2015,Efectivo,NO
2670,15,320,29/04/2016,Efectivo,SI
2730,135,459,03/03/2018,Efectivo,SI
902,141,44,04/08/2019,Efectivo,NO
1267,142,10,04/11/2019,Efectivo,NO
1277,36,339,14/04/2016,Efectivo,NO
3716,134,106,05/08/2016,Credito,NO
1441,138,419,16/04/2018,Efectivo,SI
863,97,142,21/01/2015,Efectivo,SI
2720,76,66,10/02/2018,Efectivo,NO
246,89,426,22/09/2016,Credito,NO
2570,115,32,10/06/2017,Credito,NO
2647,74,294,30/10/2017,Efectivo,NO
1849,116,236,16/04/2018,Credito,SI
586,51,182,18/05/2015,Efectivo,SI
826,130,376,31/10/2018,Efectivo,NO
612,90,431,11/08/2017,Credito,NO
2031,119,242,22/04/2015,Efectivo,NO
3681,110,397,11/04/2016,Efectivo,SI
3092,125,458,20/02/2019,Credito,NO
3986,51,481,13/08/2016,Efectivo,SI
3831,92,110,14/01/2018,Credito,NO
417,56,295,13/06/2016,Credito,NO
2084,132,198,16/09/2019,Credito,SI
3191,131,26,28/01/2017,Credito,SI
2208,131,503,11/06/2018,Credito,NO
288,39,407,19/08/2016,Efectivo,NO
156,27,560,02/11/2019,Credito,NO
942,144,437,18/09/2016,Efectivo,NO
3056,128,15,15/08/2016,Efectivo,SI
1707,50,43,14/10/2015,Credito,NO
1590,3,374,09/03/2015,Credito,SI
2203,88,373,17/02/2016,Efectivo,NO
1958,153,371,02/03/2017,Credito,SI
230,27,389,02/02/2018,Efectivo,NO
804,63,94,08/03/2019,Credito,NO
2164,127,198,09/11/2019,Credito,NO
679,90,217,20/09/2015,Efectivo,SI
3686,106,416,05/01/2018,Efectivo,NO
2446,14,112,12/02/2017,Efectivo,NO
2211,84,530,02/12/2017,Efectivo,NO
2625,135,588,08/03/2019,Efectivo,SI
530,76,122,26/11/2017,Efectivo,SI
2139,29,287,01/10/2016,Credito,NO
1475,86,117,01/10/2015,Efectivo,NO
1160,26,318,01/06/2018,Efectivo,SI
440,88,518,11/05/2015,Efectivo,NO
980,141,4,10/02/2017,Efectivo,NO
406,82,586,12/03/2016,Efectivo,NO
3112,70,281,04/02/2015,Efectivo,NO
3814,32,442,20/08/2015,Credito,SI
500,35,194,22/01/2016,Credito,NO
2846,25,421,25/08/2015,Efectivo,SI
1889,79,195,08/08/2017,Efectivo,SI
921,135,531,24/07/2018,Credito,NO
895,130,245,18/01/2018,Credito,SI
720,49,273,23/04/2018,Efectivo,SI
3615,59,84,19/04/2015,Efectivo,NO
2259,12,313,14/01/2019,Credito,SI
864,85,33,03/02/2019,Credito,SI
285,94,29,18/06/2015,Credito,NO
827,27,561,18/07/2015,Credito,NO
617,59,415,18/07/2018,Credito,SI
476,98,211,26/04/2015,Credito,SI
1929,36,136,08/11/2017,Credito,SI
2944,61,374,03/07/2018,Efectivo,NO
168,13,396,21/05/2015,Efectivo,NO
3660,66,326,02/07/2016,Efectivo,NO
1955,139,589,06/03/2017,Efectivo,SI
1615,101,145,02/03/2016,Efectivo,SI
2563,50,187,20/05/2015,Efectivo,NO
3818,118,331,06/11/2015,Efectivo,NO
415,11,378,07/12/2016,Efectivo,NO
2008,57,599,13/01/2019,Credito,NO
607,70,16,20/09/2018,Credito,SI
97,143,35,07/06/2016,Efectivo,SI
3380,115,245,27/06/2019,Credito,NO
1716,22,162,23/07/2019,Credito,SI
421,33,597,06/06/2017,Efectivo,SI
2330,152,464,20/05/2018,Efectivo,SI
2283,98,162,11/11/2019,Credito,NO
2621,31,75,07/10/2015,Efectivo,NO
3373,67,319,09/12/2018,Credito,NO
3715,82,46,27/02/2017,Efectivo,NO
2406,101,562,18/03/2015,Efectivo,NO
991,12,146,23/06/2015,Efectivo,NO
334,148,337,04/07/2016,Credito,NO
602,98,288,28/02/2019,Credito,NO
1676,156,604,30/03/2019,Credito,SI
3871,46,23,12/05/2018,Credito,SI
3462,152,521,22/09/2015,Efectivo,SI
325,70,412,04/06/2019,Credito,SI
204,118,324,22/01/2015,Credito,SI
1937,13,321,28/06/2017,Efectivo,SI
3642,123,521,24/02/2018,Efectivo,NO
1061,63,520,05/05/2019,Efectivo,SI
1349,92,417,02/10/2016,Credito,SI
1425,130,373,02/08/2015,Efectivo,SI
1806,25,24,02/06/2015,Efectivo,NO
1170,94,170,03/10/2015,Credito,SI
3137,93,604,13/12/2018,Efectivo,NO
1227,144,154,07/11/2015,Efectivo,SI
271,4,82,07/03/2017,Efectivo,NO
1653,117,370,05/07/2019,Credito,NO
2018,13,461,29/12/2018,Credito,SI
1300,146,554,21/10/2018,Efectivo,NO
3586,24,444,27/12/2019,Credito,SI
2082,61,57,18/05/2019,Efectivo,NO
1825,24,386,04/08/2018,Efectivo,NO
2197,117,166,08/07/2015,Credito,NO
3219,22,173,10/11/2017,Efectivo,SI
484,121,562,21/12/2019,Credito,NO
986,134,263,10/11/2019,Credito,SI
2396,109,344,06/04/2016,Efectivo,SI
101,37,584,12/11/2015,Credito,NO
642,118,105,01/03/2019,Efectivo,NO
136,115,32,15/03/2016,Efectivo,SI
62,65,202,31/12/2016,Efectivo,SI
2461,50,102,20/02/2019,Credito,NO
2925,3,42,21/12/2018,Efectivo,NO
3754,126,195,11/11/2018,Efectivo,NO
411,32,480,30/04/2016,Efectivo,NO
2806,41,217,19/11/2019,Credito,SI
1931,139,389,25/10/2016,Credito,NO
1279,23,242,01/12/2019,Efectivo,SI
2342,43,432,03/12/2018,Credito,SI
1485,12,477,11/02/2017,Efectivo,NO
863,150,67,25/02/2018,Efectivo,SI
1316,145,58,29/07/2015,Efectivo,SI
2980,14,339,08/08/2016,Credito,SI
1560,19,429,27/11/2015,Credito,SI
1196,4,217,27/08/2018,Efectivo,SI
2691,40,488,19/06/2018,Efectivo,NO
28,100,132,07/07/2019,Credito,SI
2710,97,371,05/08/2015,Credito,SI
3189,20,372,01/12/2017,Credito,SI
3229,102,305,06/05/2017,Credito,NO
3810,123,508,27/08/2018,Efectivo,SI
1239,143,461,21/11/2019,Credito,SI
